"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"3276.313979747","27827306496","27827306496","27827306496"
"3286.855409572","27577745408","27577745408","27577745408"
"3291.312769328","27827306496","27827306496","27827306496"
"3301.854852184","27577745408","27577745408","27577745408"
"3306.31307126","27827306496","27827306496","27827306496"
"3316.854959103","27577745408","27577745408","27577745408"
"3321.312681248","27827306496","27827306496","27827306496"
"3331.856184569","27577745408","27577745408","27577745408"
"3336.312865672","27827306496","27827306496","27827306496"
"3346.855216055","27577745408","27577745408","27577745408"
"3351.313484406","27827306496","27827306496","27827306496"
"3361.856409617","27577745408","27577745408","27577745408"
"3366.312338024","27827306496","27827306496","27827306496"
"3376.855178904","27577745408","27577745408","27577745408"
"3381.31239849","27827306496","27827306496","27827306496"
"3391.856135442","27577745408","27577745408","27577745408"
"3396.312580813","27827306496","27827306496","27827306496"
"3406.854757167","27577745408","27577745408","27577745408"
"3411.312442027","27827306496","27827306496","27827306496"
"3421.856413419","27577745408","27577745408","27577745408"
"3426.31306242","27827306496","27827306496","27827306496"
"3436.8561222","27577745408","27577745408","27577745408"
"3441.313326664","27827306496","27827306496","27827306496"
"3451.855779362","27577745408","27577745408","27577745408"
"3456.312856829","27827306496","27827306496","27827306496"
"3466.854674996","27577745408","27577745408","27577745408"
"3471.312602952","27827306496","27827306496","27827306496"
"3481.854393052","27577745408","27577745408","27577745408"
"3486.313175027","27827306496","27827306496","27827306496"
"3496.856244086","27577745408","27577745408","27577745408"
"3501.31174198","27827306496","27827306496","27827306496"
"3511.854617382","27577745408","27577745408","27577745408"
"3516.312480639","27827306496","27827306496","27827306496"
"3526.854849129","27577745408","27577745408","27577745408"
"3531.313152799","27827306496","27827306496","27827306496"
"3541.85468014","27577745408","27577745408","27577745408"
"3546.311818342","27827306496","27827306496","27827306496"
"3556.854586488","27577745408","27577745408","27577745408"
"3561.312121342","27827306496","27827306496","27827306496"
"3571.856391763","27577745408","27577745408","27577745408"
"3576.312046607","27827306496","27827306496","27827306496"
