"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"276","0.8423642516136169","0.8423642516136169","0.8423642516136169","3007","3007","3007"
"277","0.8503417372703552","0.8503417372703552","0.8503417372703552","3018","3018","3018"
"278","0.8411217927932739","0.8411217927932739","0.8411217927932739","3028","3028","3028"
"279","0.8387951850891113","0.8387951850891113","0.8387951850891113","3039","3039","3039"
"280","0.8399914503097534","0.8399914503097534","0.8399914503097534","3050","3050","3050"
"281","0.8394255638122559","0.8394255638122559","0.8394255638122559","3061","3061","3061"
"282","0.840663731098175","0.840663731098175","0.840663731098175","3072","3072","3072"
"283","0.844123125076294","0.844123125076294","0.844123125076294","3083","3083","3083"
"284","0.8386960029602051","0.8386960029602051","0.8386960029602051","3094","3094","3094"
"285","0.8414724469184875","0.8414724469184875","0.8414724469184875","3104","3104","3104"
"286","0.8395554423332214","0.8395554423332214","0.8395554423332214","3115","3115","3115"
"287","0.8444623351097107","0.8444623351097107","0.8444623351097107","3126","3126","3126"
"288","0.8404495120048523","0.8404495120048523","0.8404495120048523","3137","3137","3137"
"289","0.8310083746910095","0.8310083746910095","0.8310083746910095","3148","3148","3148"
"290","0.8425900936126709","0.8425900936126709","0.8425900936126709","3159","3159","3159"
"291","0.8353279829025269","0.8353279829025269","0.8353279829025269","3170","3170","3170"
"292","0.8411086797714233","0.8411086797714233","0.8411086797714233","3180","3180","3180"
"293","0.8382079005241394","0.8382079005241394","0.8382079005241394","3191","3191","3191"
"294","0.8406240940093994","0.8406240940093994","0.8406240940093994","3202","3202","3202"
"295","0.8448600769042969","0.8448600769042969","0.8448600769042969","3213","3213","3213"
"296","0.8392648100852966","0.8392648100852966","0.8392648100852966","3224","3224","3224"
"297","0.8375639915466309","0.8375639915466309","0.8375639915466309","3235","3235","3235"
"298","0.8340152502059937","0.8340152502059937","0.8340152502059937","3246","3246","3246"
"299","0.8393117189407349","0.8393117189407349","0.8393117189407349","3257","3257","3257"
"300","0.8441985845565796","0.8441985845565796","0.8441985845565796","3267","3267","3267"
"301","0.8450482487678528","0.8450482487678528","0.8450482487678528","3278","3278","3278"
"302","0.838330864906311","0.838330864906311","0.838330864906311","3289","3289","3289"
"303","0.8454709649085999","0.8454709649085999","0.8454709649085999","3300","3300","3300"
