"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"72167.099365","31704940544","31704940544","31704940544"
"72182.099984","31704940544","31704940544","31704940544"
"72197.099916","31704940544","31704940544","31704940544"
"72212.099642","31704940544","31704940544","31704940544"
"72227.098806","31704940544","31704940544","31704940544"
"72242.098318","31704940544","31704940544","31704940544"
"72257.098691","31704940544","31704940544","31704940544"
"72272.099941","31704940544","31704940544","31704940544"
"72287.09861","31704940544","31704940544","31704940544"
"72302.099933","31704940544","31704940544","31704940544"
"72317.099446","31704940544","31704940544","31704940544"
"72332.100374","31704940544","31704940544","31704940544"
"72347.10084","31704940544","31704940544","31704940544"
"72362.098351","31704940544","31704940544","31704940544"
"72377.099251","31704940544","31704940544","31704940544"
"72392.100236","31704940544","31704940544","31704940544"
"72407.100178","31704940544","31704940544","31704940544"
"72422.099641","31704940544","31704940544","31704940544"
"72437.099149","31704940544","31704940544","31704940544"
"72452.098959","31704940544","31704940544","31704940544"
"72467.099426","31704940544","31704940544","31704940544"
"72482.100438","31704940544","31704940544","31704940544"
"72497.099772","31704940544","31704940544","31704940544"
"72512.100293","31704940544","31704940544","31704940544"
"72527.099964","31704940544","31704940544","31704940544"
"72542.099905","31704940544","31704940544","31704940544"
"72557.099892","31704940544","31704940544","31704940544"
"72572.099258","31704940544","31704940544","31704940544"
"72587.098544","31704940544","31704940544","31704940544"
"72602.100021","31704940544","31704940544","31704940544"
"72617.099128","31704940544","31704940544","31704940544"
"72632.09938","31704940544","31704940544","31704940544"
"72647.099553","31704940544","31704940544","31704940544"
"72662.099868","31704940544","31704940544","31704940544"
"72677.099184","31704940544","31704940544","31704940544"
"72692.099072","31704940544","31704940544","31704940544"
"72707.099386","31704940544","31704940544","31704940544"
"72722.099564","31704940544","31704940544","31704940544"
"72737.099169","31704940544","31704940544","31704940544"
"72752.099782","31704940544","31704940544","31704940544"
"72767.099287","31704940544","31704940544","31704940544"
"72782.099859","31704940544","31704940544","31704940544"
"72797.099833","31704940544","31704940544","31704940544"
"72812.098536","31704940544","31704940544","31704940544"
"72827.100418","31704940544","31704940544","31704940544"
"72842.099792","31704940544","31704940544","31704940544"
"72857.099722","31704940544","31704940544","31704940544"
"72872.099425","31704940544","31704940544","31704940544"
"72887.098936","31704940544","31704940544","31704940544"
"72902.099782","31704940544","31704940544","31704940544"
"72917.099361","31704940544","31704940544","31704940544"
"72932.100955","31704940544","31704940544","31704940544"
"72947.101094","31704940544","31704940544","31704940544"
"72962.100177","31704940544","31704940544","31704940544"
"72977.099844","31704940544","31704940544","31704940544"
"72992.098961","31704940544","31704940544","31704940544"
"73007.098599","31704940544","31704940544","31704940544"
"73022.098542","31704940544","31704940544","31704940544"
"73037.09888","31704940544","31704940544","31704940544"
"73052.099868","31704940544","31704940544","31704940544"
"73067.09976","31704940544","31704940544","31704940544"
"73082.100091","31704940544","31704940544","31704940544"
"73097.099953","31704940544","31704940544","31704940544"
"73112.099217","31704940544","31704940544","31704940544"
"73127.099392","31704940544","31704940544","31704940544"
"73142.100355","31704940544","31704940544","31704940544"
"73157.099946","31704940544","31704940544","31704940544"
"73172.09933","31704940544","31704940544","31704940544"
"73187.099197","31704940544","31704940544","31704940544"
"73202.099298","31704940544","31704940544","31704940544"
"73217.099515","31704940544","31704940544","31704940544"
"73232.099748","31704940544","31704940544","31704940544"
"73247.099634","31704940544","31704940544","31704940544"
"73262.098603","31704940544","31704940544","31704940544"
"73277.098964","31704940544","31704940544","31704940544"
"73292.099181","31704940544","31704940544","31704940544"
"73307.099724","31704940544","31704940544","31704940544"
"73322.098574","31704940544","31704940544","31704940544"
"73337.099771","31704940544","31704940544","31704940544"
"73352.101639","31704940544","31704940544","31704940544"
"73367.100766","31704940544","31704940544","31704940544"
"73382.100289","31704940544","31704940544","31704940544"
"73397.099918","31704940544","31704940544","31704940544"
"73412.099632","31704940544","31704940544","31704940544"
"73427.100101","31704940544","31704940544","31704940544"
"73442.098856","31704940544","31704940544","31704940544"
"73457.100093","31704940544","31704940544","31704940544"
"73472.099348","31704940544","31704940544","31704940544"
"73487.099861","31704940544","31704940544","31704940544"
"73502.100164","31704940544","31704940544","31704940544"
"73517.099607","31704940544","31704940544","31704940544"
"73532.099414","31704940544","31704940544","31704940544"
"73547.098548","31704940544","31704940544","31704940544"
"73562.099065","31704940544","31704940544","31704940544"
"73577.099754","31704940544","31704940544","31704940544"
"73592.09902","31704940544","31704940544","31704940544"
"73607.099762","31704940544","31704940544","31704940544"
"73622.099602","31704940544","31704940544","31704940544"
"73637.099734","31704940544","31704940544","31704940544"
"73652.100377","31704940544","31704940544","31704940544"
"73667.100044","31704940544","31704940544","31704940544"
"73682.100275","31704940544","31704940544","31704940544"
"73697.100471","31704940544","31704940544","31704940544"
"73712.099985","31704940544","31704940544","31704940544"
"73727.100085","31704940544","31704940544","31704940544"
"73742.099384","31704940544","31704940544","31704940544"
"73757.099447","31704940544","31704940544","31704940544"
"73772.100144","31704940544","31704940544","31704940544"
"73787.099396","31704940544","31704940544","31704940544"
"73802.100309","31704940544","31704940544","31704940544"
"73817.099123","31704940544","31704940544","31704940544"
"73832.099936","31704940544","31704940544","31704940544"
"73847.098832","31704940544","31704940544","31704940544"
"73862.099195","31704940544","31704940544","31704940544"
"73877.099574","31704940544","31704940544","31704940544"
"73892.099749","31704940544","31704940544","31704940544"
"73907.100218","31704940544","31704940544","31704940544"
